path,snr,status,cost,optimality,p_90,p_95,p_97.5
calib/2010-05-24/HARPS.2010-05-24T00:55:40.083_e2ds_A.fits,185.05433654785156,2,36335674.37903952,9.514478733763099e-07,0.9900343265260709,0.9983437540031415,1.0050883082886726
calib/2010-05-24/HARPS.2010-05-24T00:53:34.477_e2ds_A.fits,168.83189392089844,2,30752092.197676986,2.154176854674006e-07,0.990646578561467,0.9990433369852477,1.005856243353993
calib/2010-05-24/HARPS.2010-05-24T01:01:16.072_e2ds_A.fits,172.4551239013672,2,31871217.47423702,2.233189206890529e-07,0.9902651443237944,0.9986462465885069,1.0054307200846226
calib/2010-05-24/HARPS.2010-05-24T00:57:46.520_e2ds_A.fits,194.2024383544922,2,41760630.67855473,2.7874727948073996e-07,0.990713989960877,0.998998919384783,1.0057722845316068
calib/2010-05-24/HARPS.2010-05-24T01:05:29.067_e2ds_A.fits,182.2279815673828,2,35536598.205905855,2.501265043974854e-07,0.9901741645606639,0.9983814742623266,1.0051928961152634
calib/2010-05-24/HARPS.2010-05-24T00:54:16.668_e2ds_A.fits,175.1297149658203,2,33004886.595889896,5.818692443426698e-07,0.9904701778139202,0.9988199418403794,1.0055615515582383
calib/2010-05-24/HARPS.2010-05-24T01:03:22.620_e2ds_A.fits,191.1926727294922,2,39956208.435382076,3.36527682520682e-06,0.9904423245378962,0.9987981089296456,1.0055884015964258
calib/2010-05-24/HARPS.2010-05-24T00:58:28.593_e2ds_A.fits,187.48529052734375,2,37702845.34981636,3.0775673192859343e-07,0.9901891473024336,0.9984784304920934,1.0052771868685966
calib/2010-05-24/HARPS.2010-05-24T01:00:34.040_e2ds_A.fits,167.88186645507812,2,30125764.088580117,8.529432058423936e-07,0.9902044303832676,0.9986760570755946,1.005514620780943
calib/2010-05-24/HARPS.2010-05-24T01:04:46.454_e2ds_A.fits,170.63682556152344,2,31496168.644513417,2.2736480786988977e-07,0.9906237968219653,0.9990219004427755,1.0059896098118195
calib/2010-05-24/HARPS.2010-05-24T01:01:58.065_e2ds_A.fits,177.72799682617188,2,34512387.38849265,2.326942194486037e-07,0.9906217507342854,0.9988882708381358,1.0056879535145749
calib/2010-05-24/HARPS.2010-05-24T00:56:22.075_e2ds_A.fits,197.30795288085938,2,41830686.9914696,3.035612508028862e-07,0.9901507426724693,0.9984497170818297,1.0052052980421078
calib/2010-05-24/HARPS.2010-05-24T01:02:40.517_e2ds_A.fits,165.44313049316406,2,30145090.95214152,1.4740211398134306e-06,0.9908811084943228,0.9992643596351218,1.0060263851309468
calib/2011-03-17/HARPS.2011-03-18T05:26:27.501_e2ds_B.fits,68.88550567626953,2,306519444.9996061,2.1116466086823493e-07,1.620966151070158,1.7132941155593098,1.7831633300954477
calib/2012-05-13/HARPS.2012-05-14T01:03:22.156_e2ds_A.fits,192.44869995117188,2,37764760.51479714,2.4677095069591815e-06,0.9895872692137797,0.9980879164859809,1.0048667108144138
calib/2012-05-13/HARPS.2012-05-14T05:04:20.724_e2ds_A.fits,158.75364685058594,2,26303157.80959031,1.5341357304521352e-06,0.9899861890830723,0.9985883907899369,1.005537066560642
calib/2012-05-13/HARPS.2012-05-14T05:10:10.913_e2ds_A.fits,188.139892578125,2,36659257.08184789,4.617824007624449e-07,0.9892729344630582,0.9977901088898893,1.0046503802827398
calib/2012-05-13/HARPS.2012-05-14T05:06:56.162_e2ds_A.fits,183.67514038085938,2,34419222.302960075,5.842857784266187e-07,0.9891994331876899,0.9977090598087407,1.0045530010091162
calib/2012-05-13/HARPS.2012-05-14T01:07:55.752_e2ds_A.fits,200.79432678222656,2,41168003.85249873,6.971222603624483e-07,0.989593552492692,0.997993559673628,1.004713188223563
calib/2012-05-13/HARPS.2012-05-14T05:04:58.816_e2ds_A.fits,176.4873504638672,2,32367831.74768186,9.55389202084156e-07,0.9895339402639254,0.9980488020449148,1.0049576757979606
calib/2012-05-13/HARPS.2012-05-14T05:09:32.141_e2ds_A.fits,189.64453125,2,36328218.07213612,2.7467118002277857e-07,0.9889814717543257,0.9974687183234228,1.0042595193595427
calib/2012-05-13/HARPS.2012-05-14T01:04:40.861_e2ds_A.fits,196.7827606201172,2,40154510.72549078,3.164677764289081e-07,0.9897287939861703,0.9981798166115181,1.0050401166899732
calib/2012-05-13/HARPS.2012-05-14T05:06:17.350_e2ds_A.fits,180.80908203125,2,33090056.028710507,9.798039606323528e-07,0.9891806493419125,0.9976731257901008,1.0045632108811458
calib/2012-05-13/HARPS.2012-05-14T05:08:14.156_e2ds_A.fits,199.82809448242188,2,39966051.950644106,3.4282228966731054e-07,0.988506609656461,0.9969342402984886,1.003688705919442
calib/2012-05-13/HARPS.2012-05-14T01:09:13.746_e2ds_A.fits,171.7284393310547,2,30294573.708658095,6.063287862900779e-07,0.9902175204554873,0.9987594837101287,1.0056739456536028
calib/2012-05-13/HARPS.2012-05-14T01:06:38.278_e2ds_A.fits,151.7745819091797,2,22926211.169976693,9.043105819728225e-07,0.9891319477943932,0.997727909005316,1.0048064722514136
calib/2012-05-14/HARPS.2012-05-15T04:08:12.758_e2ds_A.fits,193.63433837890625,2,39009351.92830969,9.295688720989403e-07,0.9890721684118664,0.9973514997908923,1.0040372359675995
calib/2012-05-14/HARPS.2012-05-15T00:40:24.182_e2ds_A.fits,166.24131774902344,2,27785746.371265087,3.23257154377643e-07,0.9897011227248529,0.9981373107509647,1.0050003274307417
